asset_id,campaign_id,asset_name,asset_type,file_size_mb,creation_date,status,creator,version,tags,description
84,20,Blog Post - Events Campaign 20,Social Post,7.26,2024-07-12,Archived,Kathleen Cohen,v4.7,"major, bar, air",Factor ever Mrs collection leader score she.
85,21,Landing Page - Content Marketing Campaign 21,Video,28.85,2023-09-10,Archived,Holly Carson,v1.7,"national, wrong, bill",Fear yourself last give stage keep yes.
86,21,White Paper - Content Marketing Campaign 21,White Paper,40.63,2024-02-21,Approved,Lisa Patterson,v5.2,"size, spend, south",Go exactly much food region eye environment teach world quickly.
87,21,Video - Content Marketing Campaign 21,Infographic,48.16,2024-06-01,Draft,Sharon Martinez DVM,v2.2,"represent, stock, seven",Majority officer environmental increase later plant they behavior.
88,21,Landing Page - Content Marketing Campaign 21,Case Study,34.89,2024-07-18,Published,Erin Smith,v1.7,"play, recently, sure",Huge why station manager follow exist natural candidate system small.
89,21,Blog Post - Content Marketing Campaign 21,Blog Post,5.43,2024-05-31,Published,Timothy Moore,v4.0,"yeah, into, yet",Think few themselves theory behavior growth.
90,21,Video - Content Marketing Campaign 21,Webinar,33.39,2024-03-23,Draft,Eric Lyons,v2.6,"pretty, region, ability",Back order mind knowledge account gas building team really.
91,22,Video - SEO Campaign 22,White Paper,19.46,2024-03-08,Draft,Jacob Evans,v4.2,"political, quality, attention",Across practice key reveal physical character in rather team beautiful.
92,22,Video - SEO Campaign 22,Infographic,37.75,2024-01-23,Published,Jeffrey Moody,v2.4,"popular, easy, over",Expect wait agree suggest then day parent country hot position.
93,22,White Paper - SEO Campaign 22,Social Post,19.6,2023-10-03,Archived,Stephen Smith,v3.5,"car, team, nothing",National common likely would authority onto add democratic.
94,22,Blog Post - SEO Campaign 22,Email,25.58,2024-02-04,Archived,Jessica Morales,v5.8,"pattern, everyone, finally",Tv window choice force only shake power poor financial join.
95,22,White Paper - SEO Campaign 22,Blog Post,12.6,2024-05-09,Draft,Lee Parker,v2.1,"actually, case, activity",Well mission situation result cold camera sit environmental though.
96,23,Webinar - Events Campaign 23,Email,13.96,2024-12-16,Archived,Kathleen Dixon,v1.7,"teacher, cold, church",Thus purpose boy scientist able.
97,23,Blog Post - Events Campaign 23,White Paper,2.78,2024-12-16,Review,Tyler Johnson,v4.3,"focus, indicate, result",Step number budget pull apply development middle.
98,24,Email - Email Campaign 24,Video,43.91,2024-09-09,Approved,Juan Smith,v2.4,"nor, fight, performance",Happy will young simply run national somebody character usually.
99,24,Blog Post - Email Campaign 24,White Paper,27.31,2024-05-28,Draft,April Sandoval,v3.1,"day, work, information",Win central evidence analysis discuss.
100,25,Email - Paid Search Campaign 25,Webinar,23.19,2024-12-03,Archived,Casey Wilkins,v1.9,"nothing, itself, who",Factor surface unit hotel story for laugh.
101,25,White Paper - Paid Search Campaign 25,Video,47.21,2024-10-06,Archived,Brian Cole,v3.6,"building, group, show",Final enter build citizen rather step recent American structure.
102,25,Webinar - Paid Search Campaign 25,Infographic,5.02,2024-10-16,Approved,Anthony Evans,v2.0,"weight, take, new",Economic left sound cause activity store work candidate statement head.
103,25,Video - Paid Search Campaign 25,Case Study,45.91,2024-09-30,Draft,Matthew Lamb,v1.5,"business, walk, anything",Item right many him interview government traditional every land chance.
104,25,White Paper - Paid Search Campaign 25,Case Study,25.2,2024-12-16,Published,Douglas Taylor,v2.8,"eat, yes, myself",Writer site grow name.
105,25,Social Post - Paid Search Campaign 25,Webinar,45.68,2024-11-10,Published,Alexander Harper,v1.4,"around, yard, morning",Yourself wind beyond prevent entire staff true argue you detail.
106,26,Webinar - Events Campaign 26,Infographic,9.22,2024-03-12,Approved,Alyssa Haynes,v5.9,"center, way, student",My compare also argue own after long forward pass.
107,26,Infographic - Events Campaign 26,Webinar,35.99,2024-08-10,Approved,Charles Bush,v2.1,"suffer, team, whether",Relate product only from follow wish run join.
108,26,Social Post - Events Campaign 26,Webinar,9.12,2024-09-02,Archived,Courtney Chapman,v2.6,"fill, read, camera",We we hot yes.
109,26,Blog Post - Events Campaign 26,Infographic,30.32,2024-08-11,Archived,Keith Zuniga,v2.5,"seat, draw, word",Player white start prove role from.
110,26,Blog Post - Events Campaign 26,Case Study,10.88,2024-04-27,Approved,Brian Smith,v4.7,"run, why, this",Think goal heart stock small official serve difficult later.
111,27,Case Study - Webinars Campaign 27,Blog Post,16.28,2024-08-25,Draft,Stephen Martin,v1.8,"walk, within, full",Throw relate issue president parent its approach former window important never.
112,27,Landing Page - Webinars Campaign 27,Case Study,33.2,2024-03-19,Draft,Kenneth Larsen,v2.0,"guess, into, far",Outside current agent color factor bank such final however major produce.
113,28,Landing Page - Influencer Campaign 28,Email,9.65,2024-12-19,Approved,Andrew Gonzales,v3.3,"student, nor, character",Beat gas must wife operation.
114,28,Landing Page - Influencer Campaign 28,Blog Post,42.12,2024-12-19,Published,Melissa Mayer,v5.3,"live, bad, total",Maybe too song quality per.
115,29,Social Post - SEO Campaign 29,Infographic,47.48,2023-09-28,Review,Beth Henderson,v4.3,"young, physical, street",Floor road southern beautiful news need task.
116,29,Landing Page - SEO Campaign 29,Social Post,45.9,2023-09-23,Archived,Rachael Rodriguez,v2.2,"note, old, who",Understand none big experience movie.
117,30,Email - Paid Search Campaign 30,Case Study,19.46,2024-06-13,Archived,Christopher Powell,v5.9,"race, I, how",Real any little environmental head full soldier financial.
118,30,Social Post - Paid Search Campaign 30,Video,48.64,2024-05-20,Approved,Jessica Petersen,v3.6,"painting, become, kid",Scientist service test start middle city find medical.
119,30,Infographic - Paid Search Campaign 30,Landing Page,44.03,2024-05-02,Review,Christina Brown,v1.7,"anything, growth, current",Statement measure play buy air head order concern.
120,30,Social Post - Paid Search Campaign 30,Landing Page,17.81,2024-05-15,Approved,Melissa Mitchell,v4.0,"clear, occur, who",Positive question especially important after sister should.
121,31,Social Post - Events Campaign 31,Infographic,32.54,2024-01-10,Draft,Lee Hahn,v3.6,"time, surface, learn",Level quality station however bill memory.
122,31,Webinar - Events Campaign 31,Landing Page,32.54,2024-01-10,Approved,Karen Rogers,v3.5,"technology, end, represent",Could military drive arm tax special identify.
123,32,Infographic - Events Campaign 32,Blog Post,32.94,2023-07-10,Approved,Jennifer Doyle,v5.9,"staff, gas, require",Point little wait grow feel color price next family likely.
124,32,Case Study - Events Campaign 32,Landing Page,38.26,2023-02-18,Approved,Courtney Walker,v3.6,"small, former, end",Less brother approach plant oil per line.
125,32,White Paper - Events Campaign 32,Landing Page,6.43,2023-05-16,Archived,Anthony Dickerson,v2.3,"garden, would, throughout",Century television Congress ball forward would finish around later.
126,32,White Paper - Events Campaign 32,Infographic,29.03,2023-02-14,Draft,Jeffrey Jordan,v4.7,"himself, also, current",Wear throughout series most adult above safe difficult.
127,33,Case Study - Direct Mail Campaign 33,Infographic,5.58,2024-07-24,Approved,Rodney Evans,v3.7,"road, others, full",Garden top grow could way truth.
128,33,Email - Direct Mail Campaign 33,Blog Post,11.81,2024-07-28,Review,Alex Wagner,v1.5,"represent, society, heart",Side perhaps order answer blue structure answer.
129,33,Video - Direct Mail Campaign 33,Email,22.49,2024-07-18,Approved,Christian Neal,v1.4,"inside, big, minute",Paper case store bit responsibility brother box blood cup current enjoy.
130,33,Landing Page - Direct Mail Campaign 33,White Paper,18.22,2024-07-22,Review,Jon Clark,v4.5,"doctor, actually, become",Structure protect chance bed memory.
131,34,Case Study - SEO Campaign 34,White Paper,23.11,2024-07-27,Approved,Brett Thompson,v1.4,"growth, quality, international",Believe serve animal system professional.
132,34,Infographic - SEO Campaign 34,Webinar,18.2,2024-04-15,Archived,Nicholas Watson,v3.2,"box, hundred, lead",Ready long instead though coach car risk word.
133,35,Video - Webinars Campaign 35,Email,45.61,2024-09-20,Archived,Catherine James,v3.9,"agreement, range, stuff",Low maintain thought key as pressure.
134,35,Blog Post - Webinars Campaign 35,Landing Page,38.49,2024-09-23,Archived,Tyler Marks,v5.8,"read, peace, item",Loss professional political chance step throughout party.
135,35,Blog Post - Webinars Campaign 35,Infographic,25.53,2024-09-20,Published,Angela Vasquez,v2.5,"wife, anyone, development",Idea dog learn soon large task language budget.
136,36,Blog Post - Social Media Campaign 36,Video,20.47,2024-05-26,Archived,Brandon Munoz,v5.4,"three, none, pressure",Wear guy approach development lawyer nice people list price.
137,36,Social Post - Social Media Campaign 36,Video,5.32,2024-09-02,Draft,Ronald Brandt,v3.8,"miss, reduce, animal",Manage state score important effect cultural.
138,36,Video - Social Media Campaign 36,Email,11.17,2024-09-28,Review,Ashley Perry,v5.1,"sign, late, probably",Care material morning any very stuff lot meet TV.
139,36,Infographic - Social Media Campaign 36,Infographic,36.66,2024-06-10,Published,Lisa Morris,v4.6,"woman, trouble, several",Huge garden family source catch owner though.
140,36,Landing Page - Social Media Campaign 36,Case Study,42.23,2024-08-15,Approved,Taylor Chen,v2.3,"person, fact, generation",Wonder practice when mean reason follow.
141,37,Webinar - Direct Mail Campaign 37,Landing Page,24.28,2024-11-01,Published,Stephanie Ferguson,v4.0,"mission, agent, certainly",Customer seek claim expert economy.
142,37,Blog Post - Direct Mail Campaign 37,Case Study,10.6,2024-10-30,Approved,Ashley Parrish,v5.3,"score, night, down",Realize another high indicate small rate whole.
143,38,Blog Post - SEO Campaign 38,Case Study,10.55,2023-11-24,Published,Susan Bush,v3.9,"national, owner, simply",Family concern radio cost community message.
144,38,Email - SEO Campaign 38,Blog Post,21.71,2023-11-21,Review,Ryan Smith,v4.2,"always, up, others",Past product make of group six fish detail contain attention measure.
145,39,Landing Page - Email Campaign 39,Landing Page,20.47,2023-07-20,Review,Erin Carter,v5.8,"little, no, sell",Boy generation drive politics.
146,39,White Paper - Email Campaign 39,Blog Post,34.29,2023-07-12,Draft,Joshua Campbell,v5.5,"method, meet, main",Together court message way cold what Mrs.
147,39,Blog Post - Email Campaign 39,Video,10.93,2023-10-10,Review,Jessica Garcia,v5.6,"position, vote, section",Agency response also available concern edge.
148,39,Video - Email Campaign 39,White Paper,45.59,2023-08-06,Published,Jessica Smith,v1.8,"accept, result, as",Animal summer group me face rate paper example unit high.
149,39,Blog Post - Email Campaign 39,Social Post,8.24,2023-06-12,Published,Sarah Phillips,v2.4,"quality, trial, some",Whatever action themselves center among of hour natural.
150,40,Case Study - Webinars Campaign 40,White Paper,37.54,2023-03-12,Approved,Taylor York,v2.2,"contain, pattern, education",Consider son system surface usually.
151,40,Landing Page - Webinars Campaign 40,Social Post,32.41,2023-03-01,Draft,Craig Carpenter,v3.5,"campaign, pretty, beyond",Attorney cover magazine foreign process really charge note space when collection.
152,41,White Paper - Display Campaign 41,White Paper,35.75,2024-07-29,Approved,Brandy Quinn,v4.7,"knowledge, simple, main",Compare parent success teach cause.
153,41,Landing Page - Display Campaign 41,White Paper,13.53,2024-08-31,Draft,Stephanie Atkinson,v1.9,"often, shoulder, defense",Necessary myself your line simple.
154,41,Webinar - Display Campaign 41,Email,11.55,2024-08-16,Approved,Jonathan Davis,v3.8,"action, draw, who",Range serious cell city not not the certainly rule voice American.
155,41,Social Post - Display Campaign 41,White Paper,3.61,2024-06-22,Draft,Kelly Moody,v4.7,"truth, thing, always",Billion why plant event score official now heavy.
156,42,Webinar - Direct Mail Campaign 42,Video,26.07,2024-06-09,Review,Heather Parrish,v4.7,"thought, according, think",Close baby poor deep cost gun response brother discover.
157,42,Webinar - Direct Mail Campaign 42,Video,24.34,2024-07-08,Review,Maria Jenkins,v2.0,"campaign, or, care",Always occur argue election conference when out nor affect rest.
158,42,Case Study - Direct Mail Campaign 42,Video,11.22,2024-08-13,Published,Carolyn Greer,v5.2,"some, star, consider",Enough right garden law opportunity discover history board dark teacher.
159,42,Landing Page - Direct Mail Campaign 42,Email,41.41,2024-08-13,Review,Lucas Williams,v5.8,"sell, behavior, process",Much ability visit question issue inside themselves recently investment voice.
160,42,Social Post - Direct Mail Campaign 42,Email,17.85,2024-10-08,Archived,Cesar Woods,v2.1,"exist, theory, impact",Accept season according mission mind heart.
161,43,Webinar - SEO Campaign 43,Email,18.43,2023-10-12,Archived,Scott Henderson,v3.9,"every, quite, sense",Need newspaper condition next low write officer similar.
162,43,Email - SEO Campaign 43,Infographic,42.82,2024-01-23,Review,Michael Martin,v2.8,"hundred, full, nearly",Claim who accept before certainly.
163,43,Email - SEO Campaign 43,Video,3.67,2023-10-26,Draft,Misty Arias,v4.9,"prevent, expert, white",Watch star policy keep cut.
164,44,Case Study - Content Marketing Campaign 44,White Paper,2.16,2024-05-13,Archived,Lisa Craig,v3.3,"pretty, wish, beautiful",Sister good house only military say attention.
165,44,Video - Content Marketing Campaign 44,Landing Page,14.58,2024-07-22,Archived,Victor Hill,v5.3,"lawyer, identify, above",Imagine blood authority family water sort.
166,44,Case Study - Content Marketing Campaign 44,Landing Page,40.75,2024-05-06,Published,Kristine Carrillo,v3.7,"race, to, television",Break attack plant yes quality discover firm western might.
167,44,Blog Post - Content Marketing Campaign 44,Case Study,12.79,2023-12-12,Approved,Timothy Woods,v3.3,"thus, especially, water",Material current save their deal dark.
168,44,White Paper - Content Marketing Campaign 44,Webinar,8.22,2023-12-16,Draft,Mary Austin,v5.0,"summer, he, firm",Than make worker trouble exactly develop office approach son long.
169,44,Landing Page - Content Marketing Campaign 44,Blog Post,25.37,2024-03-12,Review,Bryan Holmes,v3.0,"activity, decision, ok",Gun technology cost enjoy especially when gas contain.
170,45,White Paper - Influencer Campaign 45,Email,35.19,2023-10-01,Published,Christopher Anderson,v5.3,"sport, result, sound",It herself certainly where change south computer matter yet support.
171,45,Landing Page - Influencer Campaign 45,Landing Page,36.17,2024-01-15,Approved,Scott Williams,v1.2,"art, sport, live",Benefit seat employee growth newspaper special general in go quickly paper.
172,45,Landing Page - Influencer Campaign 45,Infographic,48.98,2023-09-08,Approved,Katherine Doyle,v1.6,"party, less, what",Political up instead partner if trade.
173,45,Video - Influencer Campaign 45,Infographic,17.51,2023-09-16,Approved,Lisa Foster,v4.5,"security, minute, late",Contain age road product wait red.
174,45,Video - Influencer Campaign 45,White Paper,8.76,2023-07-24,Draft,Kara Brown,v4.8,"share, bar, energy",Base use hope director scene kitchen.
175,46,Infographic - Display Campaign 46,Landing Page,42.01,2023-07-21,Approved,Erika Alvarez,v5.4,"nature, career, way",Computer our piece player nor model police finally girl music.
176,46,Video - Display Campaign 46,Social Post,15.74,2023-07-23,Review,Aaron Ochoa,v2.5,"expert, movement, reach",Water local across involve fall discuss account health in.
177,46,Landing Page - Display Campaign 46,Email,20.04,2023-07-21,Published,Connie Miller,v2.8,"share, travel, space",Expect sea speak include table consumer face.
178,47,Social Post - Content Marketing Campaign 47,Case Study,35.17,2023-12-21,Approved,Anthony Nichols,v2.1,"example, by, just",Do character management game.
